Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/interfaces.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/interfaces.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/interfaces.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/interfaces.eda.nokia.com/v1alpha1/breakouts,GET,com.nokia.eda.interfaces.v1alpha1.BreakoutList,,false,false,false
/apps/interfaces.eda.nokia.com/v1alpha1/interfaces,GET,com.nokia.eda.interfaces.v1alpha1.InterfaceList,,false,false,false
/apps/interfaces.eda.nokia.com/v1alpha1/interfacestates,GET,com.nokia.eda.interfaces.v1alpha1.InterfaceStateList,,false,false,false
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts,DELETE,com.nokia.eda.interfaces.v1alpha1.BreakoutList,,false,false,false
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts,GET,com.nokia.eda.interfaces.v1alpha1.BreakoutList,breakout_list,true,true,false
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts,POST,com.nokia.eda.interfaces.v1alpha1.Breakout,breakout,true,false,true
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts/_deleted,GET,com.nokia.eda.interfaces.v1alpha1.Breakout_DeletedResources,,false,false,false
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts/{name},DELETE,Status,breakout,true,false,true
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts/{name},GET,com.nokia.eda.interfaces.v1alpha1.Breakout,breakout,true,true,true
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts/{name},PATCH,Patch,,false,false,false
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts/{name},PUT,com.nokia.eda.interfaces.v1alpha1.Breakout,breakout,true,false,true
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/interfaces.eda.nokia.com/v1alpha1/namespaces/{namespace}/breakouts/{name}/_topology,GET,ResourceTopology,,false,false,false
